sheet,family,T5,T10,T50,T_dtg_peak,residue,n_steps,hardness_raw,hardness_scale,shore_d
3,PUR,265.60236801537746,305.55173999889035,413.3443342730201,420.63439065108514,3.9918262239065125,2,,,
4,PUR,270.202484058555,311.27350731742865,413.77187838127185,420.63439065108514,5.612993207244593,2,,,
5,EVA,324.97409891793524,357.4344772903613,471.0280599232134,471.3856427378965,23.11607460402874,1,,,
13,TR,226.0763002487288,246.90126361181885,423.7988719259046,446.01001669449084,1.4798599122177567,2,65.0,A?,19.0
14,TR,215.53768374186032,239.34854706839312,442.79422364983446,458.69782971619367,1.2882618543558055,2,,,
15,TR,224.6746164074017,250.89128686739542,443.3039257290878,456.1602671118531,0.37009458105404236,2,70.0,A?,22.0
16,TPU,246.2444060111861,277.6744006625926,356.1129344816771,358.46410684474125,7.06377919019334,1,65.0,D,65.0
17,TPU,263.9597700423433,292.9307958097547,363.6649754644853,380.03338898163605,6.252050108800787,1,75.0,D,75.0
18,TPU,269.0064784020266,288.7754786983132,344.31596952880744,308.9816360601002,7.943856221008486,2,,,
19,TPU,266.05922359986494,286.33725166911,362.22535519095953,357.19532554257097,6.562716848843914,3,,,
20,TPU,259.779740626955,284.0367392714364,351.2581934282565,352.12020033388984,5.0780295480813304,4,75.0,D,75.0
21,TPU,248.10492766074378,275.76818606862486,363.24632063623017,400.3338898163606,3.6817673175769117,2,65.0,D,65.0
25,PVC,249.79939737795718,264.5775644799098,307.63431474917667,288.68113522537567,9.996172880628528,2,,,
27,EVA,351.6051477828255,408.3896745726076,474.5717173944314,473.92320534223705,21.91956479656787,1,,,
30,PUR,251.15541613850854,271.9585314987106,383.8222820332667,409.2153589315526,8.41576526867785,3,,,
31,PUR,255.79559393849695,290.84760055530415,397.3712666760024,400.3338898163606,7.7091852971506665,2,,,
32,PUR,238.22886618896288,278.09231838740754,397.4767501175456,404.14023372287147,10.454164251795918,2,,,
33,PUR,265.8466229338204,299.3033612035332,380.1599802445704,383.8397328881469,6.111630610675274,1,,,
34,PUR,255.4367783781396,274.0341565253548,379.66351723586575,404.14023372287147,9.098686834337029,3,,,
35,PUR,263.27028280913623,289.0997349786712,377.8197011231215,359.73288814691153,9.59135105062562,3,,,
38,PUR,257.5396167472671,294.0830957477645,403.1789680885866,407.9465776293823,9.96961734390508,2,,,
39,PUR,263.61478502828425,296.5154672433145,381.0377808371707,385.1085141903172,7.544632725556631,1,,,
40,RUBBER,279.16729998568724,339.7808081733902,424.88792416598403,453.62270450751254,16.395286935629958,2,,,
45,TR,232.46059313290314,256.06286454974986,438.5818449760829,454.8914858096828,4.247923841942964,2,68.0,A?,20.8
57,TR,244.01264654790094,274.14287765065137,450.4945238488257,459.96661101836395,0.6980119321458178,1,75.0,A?,26.0
59,TR,231.54998984824496,253.8465946868747,434.25604333854517,453.62270450751254,0.7934745644668819,2,60.0,A?,16.0
63,TPU,266.3892381537952,286.0960106680788,350.480964110726,310.25041736227047,7.595569115221189,2,75.0,A?,26.0
64,TPU,260.1643337452104,283.4911891799107,328.2020467580789,317.86310517529216,4.585159019455231,2,75.0,A?,26.0
66,TPU,249.00762692721423,275.99681087466575,339.91955715921824,339.43238731218696,5.131602690538669,2,50.0,A?,12.0
67,TPU,271.8082245903758,301.2620625980719,362.4018035678061,344.50751252086815,7.30009827304618,2,,,
69,TPU,297.7166727954422,308.0356862039699,349.7557831281233,326.74457429048414,7.727352148667667,2,,,
70,TPU,293.7505976668077,305.24420932110166,364.4703457346348,320.4006677796327,6.449742684703213,2,85.0,A?,35.0
71,TPU,276.8788912064114,298.99904185940267,376.4488610967635,457.4290484140234,3.815490419707265,2,52.0,A,12.8
73,TPU,260.7839954360104,282.4808698761104,336.19040209297935,335.6260434056761,4.1757016658418715,2,70.0,A,22.0
75,TPU,261.04518838307223,283.69387322089256,336.47568126593154,325.47579298831386,4.302501875937215,2,75.0,A?,26.0
76,TPU,268.83692759049364,286.23432845215297,355.68913900258264,308.9816360601002,6.767560854757167,3,75.0,A?,26.0
79,TPU,271.0798636194182,296.9471213946682,347.19694844046774,338.1636060100167,5.721721736623479,2,,,
80,TPU,291.87214722690015,303.6116782124849,350.33912763762095,329.2821368948247,6.155173821061825,1,,,
H4965,TR,226.7383424395453,249.55457901790936,433.45560323606395,451.085141903172,8.26326127552698,2,65.0,A?,19.0
