reference,description,supplier
1,1 Par de suelas TPU,Cicasa
2,"2 Tiras de Eva de 1,2mm marcada com Martinelli",Cicasa
3,2 Planchas C/gris marcada como Hi-react PU Pikolinos,Cicasa
4,2 Planchas C/crudo marcada como Hi-react PU Pikolinos,Cicasa
5,4 Planchas de Eva amarillo,Majoma
6,4 Planchas de cuerolite marrón,Majoma
7,4 Planchas de cuerolite marrón brillo,Majoma
8,6 pares EVA gris sin lijar,Plasticuero
9,6 pares EVA gris lijados,Plasticuero
10,6 pares EVA marron sin lijar,Plasticuero
11,6 pares EVA marron lijados,Plasticuero
12,8 pares TR crudo C-42/70/BE874/5,Pekes
13,8 pares TR marrón CLO/7922/65,Pekes
14,8 pares TR marrón Matex-09/65/A1375/s,Pekes
15,8 pares TR marrón PK-0142/70,Pekes
16,8 pares TPU crudo D65 EPAMOULD,Pekes
17,8 pares TPU crudo D75 HUSMAN D85 EPAMOULD D65 50%,Pekes
18,8 pares TPU crudo 185A56 EXPAMOULD,Pekes
19,8 pares TPU transparente 185A56 EPAMOULD,Pekes
20,8 pares TPU transparente D75 HUSMAN D85 EPAMOULD D65 50%,Pekes
21,8 pares TPU transparente D65 EPAMOULD,Pekes
22,Piel color marrón,Pies cuadrados
23,Piel color marrón,Pies cuadrados
24,5 nuestras TR natural,Analco
25,9 muestras PVC negro,Analco
26,5 nuestras TPU crudo,Analco
27,6 planchas EVA negro MII relleno,Analco
28,5 planchas PUR negro INT lavado,Analco
29,5 planchas PUR negro BY lavado,Analco
30,5 planchas PUR negro BK lavado,Analco
31,5 planchas PUR negro BL lavado,Analco
32,5 planchas PUR negro COR lavado,Analco
33,5 planchas PUR negro PL lavado,Analco
34,5 planchas PUR negro BK sin lavar,Analco
35,5 planchas PUR negro BY sin lavar,Analco
36,5 planchas PUR negro COR sin lavar,Analco
37,5 planchas PUR negro INT sin lavar,Analco
38,5 planchas PUR negro BL sin lavar,Analco
39,5 planchas PUR negro PL sin lavar,Analco
40,3 planchas caucho marrón LATEX,Ruiz Alejos
41,3 planchas caucho negro D45,Ruiz Alejos
42,3 planchas caucho rosa D60,Ruiz Alejos
43,3 planchas caucho bicolor D60,Ruiz Alejos
44,15 planchas TR negro TPS5 65,Ruiz Alejos
45,15 planchas TR negro R-C42 68,Ruiz Alejos
46,15 planchas TR negro TPS 1 75,Ruiz Alejos
47,15 planchas TR negro H49 65,Ruiz Alejos
48,15 planchas TR negro MBM 75,Ruiz Alejos
49,15 planchas TR negro CSHO HP 55,Ruiz Alejos
50,15 planchas TR negro GPL 60,Ruiz Alejos
51,15 planchas TR negro GL40 65,Ruiz Alejos
52,15 planchas TR negro SCTR 70 55,Ruiz Alejos
53,15 planchas TR caramelo MATEX 06 55,Urban
54,15 planchas TR caramelo TPS5 65,Urban
55,15 planchas TR caramelo H49 60,Urban
56,15 planchas TR caramelo CSHT 52,Urban
57,15 planchas TR caramelo TPS1 75,Urban
58,15 planchas TR caramelo SCTR 70 55,Urban
59,15 planchas TR caramelo CSHT HP 60,Urban
60,15 planchas TR caramelo CSHCR 52,Urban
61,15 planchas TR caramelo GL 40 60,Urban
62,15 planchas TR caramelo GPL +60,Urban
63,15 planchas TPU negro EPAPLEX 75,Urban
64,15 planchas TPU negro APAN ML75,Urban
65,15 planchas TPU 52 FN 75 MILL,Urban
66,15 planchas TPU negro A70NP50,Urban
67,15 planchas TPU negro MH 80 ST,Urban
68,15 planchas TPU negro AVALON 65 AB,Urban
69,15 planchas TPU negro AVALON 65 AE,Urban
70,15 planchas TPU negro WHT 85,Urban
71,15 planchas TPU negro A 52 7011,Urban
72,15 planchas TPU caramelo AVALON 65 AB,Urban
73,15 planchas TPU caramelo A70 NP50,Urban
74,15 planchas TPU caramelo A52FN75MILL,Urban
75,15 planchas TPU caramelo APAN ML75,Urban
76,15 planchas TPU caramelo APAFLEX 75,Urban
77,15 planchas TPU caramelo A52 7011,Urban
78,15 planchas TPU caramelo WHT 1585 AB,Urban
79,15 planchas TPU caramelo MH 80 ST,Urban
80,15 planchas TPU caramelo AVALON 85 AE,Urban
