subset,representation,ARI,AMI,silhouette
all (n=39),SNV,0.5698609222548248,0.6669080657854357,0.5641798848635268
all (n=39),SG 1st derivative,0.4341427916880037,0.6423959089837139,0.39580891234535315
all (n=39),SG 2nd derivative,0.7365902867848393,0.8552075757484499,0.3662073056026666
all (n=39),ALS baseline + SNV,0.5698609222548248,0.6669080657854357,0.5806456362641226
all (n=39),EMSC,0.5074063067008697,0.505940048023163,0.5573148491262313
all (n=39),Fourier magnitude,0.3186585563010266,0.4571130229462925,0.4196027304769798
all (n=39),TFI,0.3316002310803004,0.4597265185236149,0.33604215575687835
all (n=39),peaks: + prominence,0.43769368981234424,0.5123509767656107,0.2535941217872028
TPU/PUR/TR (n=35),SNV,0.5584564528098226,0.6622182195684259,0.660417015207207
TPU/PUR/TR (n=35),SG 1st derivative,0.5584564528098226,0.6622182195684259,0.5416822993299
TPU/PUR/TR (n=35),SG 2nd derivative,1.0,1.0000000000000002,0.4108359445644044
TPU/PUR/TR (n=35),ALS baseline + SNV,0.5584564528098226,0.6622182195684259,0.637132774945726
TPU/PUR/TR (n=35),EMSC,0.31952571683530867,0.41798320649063503,0.7781088536855243
TPU/PUR/TR (n=35),Fourier magnitude,0.28090469613259667,0.4469360928733731,0.44713237461561833
TPU/PUR/TR (n=35),TFI,0.37323279924599434,0.5151372212479415,0.35568930564510653
TPU/PUR/TR (n=35),peaks: + prominence,0.5372159894409352,0.48652107416045637,0.3441452034484574
