sheet,family,PI (k-means),TFI (k-means),baseline: raw spectra (k-means),W-sliced (average linkage)
3,PUR,4,2,2,1
4,PUR,4,2,2,1
5,EVA,1,2,4,2
13,TR,2,1,1,1
14,TR,2,1,3,1
15,TR,2,1,3,1
16,TPU,1,5,0,2
17,TPU,1,5,0,2
18,TPU,1,5,0,0
19,TPU,0,4,0,0
20,TPU,1,5,0,2
21,TPU,1,5,0,2
25,PVC,5,2,5,3
27,EVA,0,2,4,0
30,PUR,0,3,0,4
31,PUR,3,0,0,0
32,PUR,1,4,0,0
33,PUR,4,2,2,1
34,PUR,0,3,0,4
35,PUR,0,3,0,0
38,PUR,3,0,0,0
39,PUR,4,2,2,1
40,RUBBER,4,1,4,2
45,TR,2,1,1,1
57,TR,4,1,3,1
59,TR,2,1,1,1
63,TPU,3,4,0,0
64,TPU,3,3,0,0
66,TPU,1,5,0,0
67,TPU,3,4,0,0
69,TPU,3,0,0,0
70,TPU,3,4,0,0
71,TPU,3,4,0,5
73,TPU,1,5,0,0
75,TPU,3,0,0,0
76,TPU,3,4,0,0
79,TPU,1,5,0,2
80,TPU,3,0,0,0
H4965,TR,2,1,1,1
