sheet,family,PI (k-means),TFI (k-means),baseline: raw spectra (k-means),W-sliced (average linkage)
3,PUR,0,2,2,1
4,PUR,0,2,2,1
13,TR,0,0,0,1
14,TR,0,0,0,1
15,TR,0,0,0,1
16,TPU,1,1,1,1
17,TPU,1,1,1,0
18,TPU,1,1,1,0
19,TPU,2,2,1,0
20,TPU,1,1,1,0
21,TPU,1,1,1,1
30,PUR,1,2,1,0
31,PUR,2,1,1,0
32,PUR,1,2,1,0
33,PUR,0,2,2,1
34,PUR,1,2,1,0
35,PUR,2,2,1,0
38,PUR,2,1,1,0
39,PUR,0,2,2,1
45,TR,0,0,0,1
57,TR,0,0,0,1
59,TR,0,0,0,1
63,TPU,2,2,1,0
64,TPU,2,2,1,0
66,TPU,1,1,1,0
67,TPU,2,2,1,0
69,TPU,2,1,1,0
70,TPU,2,2,1,0
71,TPU,2,2,1,2
73,TPU,1,1,1,0
75,TPU,2,1,1,0
76,TPU,2,2,1,0
79,TPU,1,1,1,0
80,TPU,2,1,1,0
H4965,TR,0,0,0,1
