representation,nominal_risk,naive_margin,naive_overheated,conformal_margin,conformal_overheated
Family mean,0.05,22.631540784332074,0.07692307692307693,26.529546791412834,0.02564102564102564
Family mean,0.01,25.203754974637242,0.02564102564102564,26.529546791412834,0.02564102564102564
Fingerprint image,0.05,14.686093279124552,0.07692307692307693,24.569055371149307,0.02564102564102564
Fingerprint image,0.01,22.78796977668843,0.05128205128205128,24.569055371149307,0.02564102564102564
"Peaks, position + prominence",0.05,13.542821025357489,0.07692307692307693,24.317966423083956,0.02564102564102564
"Peaks, position + prominence",0.01,20.81510733885407,0.02564102564102564,24.317966423083956,0.02564102564102564
Raw spectra (SNV),0.05,23.429351329630943,0.05128205128205128,46.315541872991105,0.0
Raw spectra (SNV),0.01,38.03754562473135,0.02564102564102564,46.315541872991105,0.0
SG 2nd derivative,0.05,21.053103411851964,0.07692307692307693,68.89512824114935,0.02564102564102564
SG 2nd derivative,0.01,55.164288066323,0.02564102564102564,68.89512824114935,0.02564102564102564
