window,polyorder,derivative,ARI
7,2,1,0.5584564528098226
7,2,2,1.0
7,3,1,0.5584564528098226
7,3,2,1.0
11,2,1,0.5584564528098226
11,2,2,1.0
11,3,1,0.5584564528098226
11,3,2,1.0
15,2,1,0.5584564528098226
15,2,2,1.0
15,3,1,0.5584564528098226
15,3,2,1.0
21,2,1,0.5584564528098226
21,2,2,1.0
21,3,1,0.5584564528098226
21,3,2,1.0
31,2,1,0.5584564528098226
31,2,2,1.0
31,3,1,0.5584564528098226
31,3,2,1.0
51,2,1,0.5584564528098226
51,2,2,0.5584564528098226
51,3,1,0.5584564528098226
51,3,2,0.5584564528098226
