sheet,family,n_features_raw,n_features_kept,pruning_threshold,total_persistence,max_persistence
3,PUR,184,75,0.002,4.463147317239651,1.0
4,PUR,182,55,0.002,4.422589824497379,1.0
5,EVA,209,50,0.002,4.110279756124616,1.0
13,TR,236,79,0.002,3.4774303494629217,1.0
14,TR,239,88,0.002,4.01572454039181,1.0
15,TR,238,87,0.002,4.18748587949846,1.0
16,TPU,196,62,0.002,4.09508297442995,1.0
17,TPU,199,61,0.002,4.2640546860616935,1.0
18,TPU,194,65,0.002,4.9163696228333755,1.0
19,TPU,186,75,0.002,5.980981178426058,1.0
20,TPU,189,67,0.002,4.7206775596921124,1.0
21,TPU,188,59,0.002,4.255987513796238,1.0
25,PVC,213,97,0.002,5.334483468504832,1.0
27,EVA,220,88,0.002,4.707980370846935,1.0
30,PUR,192,90,0.002,5.748354964156754,1.0
31,PUR,176,66,0.002,5.059719559428053,1.0
32,PUR,188,70,0.002,4.627288331449025,1.0
33,PUR,178,54,0.002,3.7058532422526573,1.0
34,PUR,187,87,0.002,5.817848723423582,1.0
35,PUR,174,68,0.002,5.443823933599303,1.0
38,PUR,177,69,0.002,5.123965460822941,1.0
39,PUR,184,54,0.002,3.7082360594963966,1.0
40,RUBBER,221,84,0.002,4.132902353112858,1.0
45,TR,231,100,0.002,4.67049382535128,1.0
57,TR,217,79,0.002,3.8638799144023297,1.0
59,TR,232,100,0.002,4.152994189950277,1.0
63,TPU,183,74,0.002,5.365975354926817,1.0
64,TPU,194,68,0.002,5.640620278284579,1.0
66,TPU,188,60,0.002,5.145205729291039,1.0
67,TPU,186,68,0.002,4.958095043883305,1.0
69,TPU,186,57,0.002,5.0207036941219965,1.0
70,TPU,192,68,0.002,5.264952696242608,1.0
71,TPU,190,93,0.002,6.729389555728208,1.0
73,TPU,198,68,0.002,5.186132965082461,1.0
75,TPU,184,64,0.002,5.287663994554934,1.0
76,TPU,187,73,0.002,5.53956268352966,1.0
79,TPU,182,55,0.002,4.603191397455,1.0
80,TPU,194,75,0.002,5.5445215983305705,1.0
H4965,TR,212,64,0.002,3.623637036834162,1.0
