sheet,family,n_features_tg,n_features_dtg,n_features_dtg_pruned
3,PUR,1,13,4
4,PUR,2,13,4
5,EVA,3,10,4
13,TR,3,10,3
14,TR,4,9,3
15,TR,5,12,3
16,TPU,1,6,2
17,TPU,1,10,3
18,TPU,2,6,5
19,TPU,1,13,5
20,TPU,1,10,5
21,TPU,2,17,5
25,PVC,1,7,3
27,EVA,3,9,6
30,PUR,1,8,5
31,PUR,1,11,4
32,PUR,1,9,3
33,PUR,1,7,3
34,PUR,1,8,4
35,PUR,2,14,5
38,PUR,2,10,5
39,PUR,2,11,4
40,RUBBER,3,13,5
45,TR,3,11,5
57,TR,5,11,3
59,TR,6,8,3
63,TPU,2,6,5
64,TPU,1,6,5
66,TPU,1,6,5
67,TPU,1,7,4
69,TPU,1,8,5
70,TPU,2,11,4
71,TPU,1,9,7
73,TPU,2,6,4
75,TPU,1,9,4
76,TPU,2,11,5
79,TPU,1,8,4
80,TPU,2,10,3
H4965,TR,3,13,4
