representation,process_temperature,accepted,truly_safe,unsafe_accepted,safe_rejected,correct
Family mean,210.0,32,39,0,7,0.8205128205128205
Family mean,215.0,32,39,0,7,0.8205128205128205
Family mean,220.0,32,38,0,6,0.8461538461538461
Family mean,225.0,32,37,0,5,0.8717948717948718
Family mean,230.0,32,35,0,3,0.9230769230769231
Family mean,235.0,31,33,0,2,0.9487179487179487
Family mean,240.0,20,32,0,12,0.6923076923076923
Family mean,245.0,14,31,0,17,0.5641025641025641
Family mean,250.0,2,27,0,25,0.358974358974359
Family mean,255.0,2,26,0,24,0.38461538461538464
Family mean,260.0,2,22,0,20,0.48717948717948717
Family mean,265.0,2,16,0,14,0.6410256410256411
Family mean,270.0,2,10,0,8,0.7948717948717948
Family mean,275.0,2,7,0,5,0.8717948717948718
Family mean,280.0,2,5,0,3,0.9230769230769231
Family mean,285.0,2,5,0,3,0.9230769230769231
Family mean,290.0,2,5,0,3,0.9230769230769231
Family mean,295.0,2,3,0,1,0.9743589743589743
Family mean,300.0,2,2,0,0,1.0
Family mean,305.0,1,2,0,1,0.9743589743589743
Family mean,310.0,1,2,0,1,0.9743589743589743
Family mean,315.0,1,2,0,1,0.9743589743589743
Fingerprint image,210.0,37,39,0,2,0.9487179487179487
Fingerprint image,215.0,34,39,0,5,0.8717948717948718
Fingerprint image,220.0,33,38,0,5,0.8717948717948718
Fingerprint image,225.0,32,37,0,5,0.8717948717948718
Fingerprint image,230.0,31,35,0,4,0.8974358974358975
Fingerprint image,235.0,29,33,0,4,0.8974358974358975
Fingerprint image,240.0,28,32,1,5,0.8461538461538461
Fingerprint image,245.0,24,31,1,8,0.7692307692307693
Fingerprint image,250.0,18,27,2,11,0.6666666666666666
Fingerprint image,255.0,12,26,1,15,0.5897435897435898
Fingerprint image,260.0,7,22,0,15,0.6153846153846154
Fingerprint image,265.0,7,16,0,9,0.7692307692307693
Fingerprint image,270.0,3,10,0,7,0.8205128205128205
Fingerprint image,275.0,2,7,0,5,0.8717948717948718
Fingerprint image,280.0,2,5,0,3,0.9230769230769231
Fingerprint image,285.0,2,5,0,3,0.9230769230769231
Fingerprint image,290.0,2,5,0,3,0.9230769230769231
Fingerprint image,295.0,1,3,0,2,0.9487179487179487
Fingerprint image,300.0,1,2,0,1,0.9743589743589743
Fingerprint image,305.0,1,2,0,1,0.9743589743589743
Fingerprint image,310.0,0,2,0,2,0.9487179487179487
Fingerprint image,315.0,0,2,0,2,0.9487179487179487
"Peaks, position + prominence",210.0,38,39,0,1,0.9743589743589743
"Peaks, position + prominence",215.0,35,39,0,4,0.8974358974358975
"Peaks, position + prominence",220.0,33,38,0,5,0.8717948717948718
"Peaks, position + prominence",225.0,32,37,0,5,0.8717948717948718
"Peaks, position + prominence",230.0,32,35,0,3,0.9230769230769231
"Peaks, position + prominence",235.0,28,33,0,5,0.8717948717948718
"Peaks, position + prominence",240.0,27,32,1,6,0.8205128205128205
"Peaks, position + prominence",245.0,25,31,1,7,0.7948717948717948
"Peaks, position + prominence",250.0,21,27,1,7,0.7948717948717948
"Peaks, position + prominence",255.0,11,26,0,15,0.6153846153846154
"Peaks, position + prominence",260.0,9,22,0,13,0.6666666666666666
"Peaks, position + prominence",265.0,7,16,0,9,0.7692307692307693
"Peaks, position + prominence",270.0,3,10,0,7,0.8205128205128205
"Peaks, position + prominence",275.0,3,7,0,4,0.8974358974358975
"Peaks, position + prominence",280.0,2,5,0,3,0.9230769230769231
"Peaks, position + prominence",285.0,1,5,0,4,0.8974358974358975
"Peaks, position + prominence",290.0,1,5,0,4,0.8974358974358975
"Peaks, position + prominence",295.0,1,3,0,2,0.9487179487179487
"Peaks, position + prominence",300.0,0,2,0,2,0.9487179487179487
"Peaks, position + prominence",305.0,0,2,0,2,0.9487179487179487
"Peaks, position + prominence",310.0,0,2,0,2,0.9487179487179487
"Peaks, position + prominence",315.0,0,2,0,2,0.9487179487179487
Raw spectra (SNV),210.0,34,39,0,5,0.8717948717948718
Raw spectra (SNV),215.0,33,39,0,6,0.8461538461538461
Raw spectra (SNV),220.0,32,38,0,6,0.8461538461538461
Raw spectra (SNV),225.0,31,37,0,6,0.8461538461538461
Raw spectra (SNV),230.0,27,35,0,8,0.7948717948717948
Raw spectra (SNV),235.0,25,33,0,8,0.7948717948717948
Raw spectra (SNV),240.0,20,32,0,12,0.6923076923076923
Raw spectra (SNV),245.0,13,31,0,18,0.5384615384615384
Raw spectra (SNV),250.0,12,27,1,16,0.5641025641025641
Raw spectra (SNV),255.0,10,26,1,17,0.5384615384615384
Raw spectra (SNV),260.0,7,22,1,16,0.5641025641025641
Raw spectra (SNV),265.0,4,16,1,13,0.6410256410256411
Raw spectra (SNV),270.0,2,10,0,8,0.7948717948717948
Raw spectra (SNV),275.0,2,7,0,5,0.8717948717948718
Raw spectra (SNV),280.0,2,5,1,4,0.8717948717948718
Raw spectra (SNV),285.0,2,5,1,4,0.8717948717948718
Raw spectra (SNV),290.0,1,5,0,4,0.8974358974358975
Raw spectra (SNV),295.0,1,3,0,2,0.9487179487179487
Raw spectra (SNV),300.0,1,2,0,1,0.9743589743589743
Raw spectra (SNV),305.0,1,2,0,1,0.9743589743589743
Raw spectra (SNV),310.0,0,2,0,2,0.9487179487179487
Raw spectra (SNV),315.0,0,2,0,2,0.9487179487179487
SG 2nd derivative,210.0,35,39,0,4,0.8974358974358975
SG 2nd derivative,215.0,34,39,0,5,0.8717948717948718
SG 2nd derivative,220.0,33,38,1,6,0.8205128205128205
SG 2nd derivative,225.0,32,37,0,5,0.8717948717948718
SG 2nd derivative,230.0,30,35,0,5,0.8717948717948718
SG 2nd derivative,235.0,27,33,0,6,0.8461538461538461
SG 2nd derivative,240.0,21,32,1,12,0.6666666666666666
SG 2nd derivative,245.0,15,31,1,17,0.5384615384615384
SG 2nd derivative,250.0,10,27,1,18,0.5128205128205128
SG 2nd derivative,255.0,6,26,0,20,0.48717948717948717
SG 2nd derivative,260.0,3,22,0,19,0.5128205128205128
SG 2nd derivative,265.0,3,16,0,13,0.6666666666666666
SG 2nd derivative,270.0,3,10,0,7,0.8205128205128205
SG 2nd derivative,275.0,3,7,0,4,0.8974358974358975
SG 2nd derivative,280.0,2,5,1,4,0.8717948717948718
SG 2nd derivative,285.0,2,5,1,4,0.8717948717948718
SG 2nd derivative,290.0,2,5,1,4,0.8717948717948718
SG 2nd derivative,295.0,1,3,1,3,0.8974358974358975
SG 2nd derivative,300.0,1,2,1,2,0.9230769230769231
SG 2nd derivative,305.0,1,2,1,2,0.9230769230769231
SG 2nd derivative,310.0,1,2,1,2,0.9230769230769231
SG 2nd derivative,315.0,1,2,1,2,0.9230769230769231
