subset,representation,k,ARI,AMI,silhouette
all (n=39),IR only (TFI),6,0.3316002310803004,0.4597265185236149,0.33604215575687846
TPU/PUR/TR (n=35),IR only (TFI),3,0.37323279924599434,0.5151372212479415,0.3556893056451066
TPU/PUR (n=28),IR only (TFI),2,0.09660377358490566,0.09697594827324126,0.369890840675982
all (n=39),DTG only (TFI),6,0.39331794507575757,0.5017325540457087,0.5261312895269035
TPU/PUR/TR (n=35),DTG only (TFI),3,0.6477900552486188,0.630114791008726,0.5808777264235263
TPU/PUR (n=28),DTG only (TFI),2,0.49244712990936557,0.398110016513414,0.5414577028894103
all (n=39),IR + DTG (TFI),6,0.35947463830754106,0.46728605271594553,0.3202510239586255
TPU/PUR/TR (n=35),IR + DTG (TFI),3,0.6477900552486188,0.630114791008726,0.3232154217645838
TPU/PUR (n=28),IR + DTG (TFI),2,0.49244712990936557,0.398110016513414,0.29039871437765435
all (n=39),control: raw DTG curve,6,0.433775753062625,0.5494653659773299,0.36697643709337313
TPU/PUR/TR (n=35),control: raw DTG curve,3,0.737297564593893,0.7709727501079604,0.43456630313321937
TPU/PUR (n=28),control: raw DTG curve,2,0.5989304812834224,0.5522117518580169,0.3568900081609298
all (n=39),control: TG scalars,6,0.36218649517684887,0.47910917077907467,0.41686718389837824
TPU/PUR/TR (n=35),control: TG scalars,3,0.46120012566760915,0.5561084453011808,0.35591871452398705
TPU/PUR (n=28),control: TG scalars,2,0.22339622641509435,0.17328207522319278,0.29411576671404754
