subset,representation,ARI,AMI,silhouette
all (n=39),TFI,0.3316002310803004,0.4597265185236149,0.33604215575687835
all (n=39),PI,0.3426496393059076,0.4202195093055124,0.21808584312409168
all (n=39),peaks: position,0.12522536317429897,0.18042420750669386,0.1954672192604788
all (n=39),peaks: + intensity,0.17653141095638897,0.30142509053723804,0.24306778781557598
all (n=39),peaks: + width,0.18369200738285515,0.3155410028339849,0.21633239901268803
all (n=39),peaks: + area,0.19877388238725804,0.3395212067510423,0.4096625769200666
all (n=39),peaks: + prominence,0.43769368981234424,0.5123509767656107,0.2535941217872028
all (n=39),peaks: all five,0.27337268822687244,0.40938030143530385,0.24199202096660585
all (n=39),raw spectra,0.5698609222548248,0.6669080657854357,0.564179884863527
TPU/PUR/TR (n=35),TFI,0.37323279924599434,0.5151372212479415,0.35568930564510653
TPU/PUR/TR (n=35),PI,0.2740315728220947,0.36856960054135735,0.23807170722635992
TPU/PUR/TR (n=35),peaks: position,0.1517789438563499,0.23643083216541474,0.27845071190964443
TPU/PUR/TR (n=35),peaks: + intensity,0.156987040904816,0.20552839446973817,0.3166095598086272
TPU/PUR/TR (n=35),peaks: + width,0.2871505890994034,0.3635211145866897,0.25743664641467895
TPU/PUR/TR (n=35),peaks: + area,0.40485760396659326,0.4298718439944053,0.3073910451825519
TPU/PUR/TR (n=35),peaks: + prominence,0.5372159894409352,0.48652107416045637,0.3441452034484574
TPU/PUR/TR (n=35),peaks: all five,0.5372159894409352,0.48652107416045637,0.26462359756322035
TPU/PUR/TR (n=35),raw spectra,0.5584564528098226,0.6622182195684259,0.6604170152072071
