target,representation,model,Q2,RMSE,MAPE
T5,family mean,-,0.7056582576626484,13.97123433493798,4.011973389354816
T5,TFI,ridge,0.7732663156022153,12.262156975167308,3.389770035390295
T5,TFI,PLS,0.7030920887641239,14.032005094019386,4.153672981009904
T5,PI,ridge,0.0659316365682601,24.88846889912443,6.218547259738829
T5,PI,PLS,-0.3171732562882015,29.55495489999809,7.669385178601254
T5,peaks: position,ridge,-0.2211903254515195,28.457747809018965,7.28887891728444
T5,peaks: position,PLS,-0.2381834237511786,28.655061284298345,7.119584891623479
T5,peaks: + intensity,ridge,0.5611729219883248,17.059078114249274,4.484820250637649
T5,peaks: + intensity,PLS,0.477852853349467,18.60824019839928,4.641437989892864
T5,peaks: + width,ridge,-0.0564568873329611,26.46882960784752,7.234282350208272
T5,peaks: + width,PLS,0.0327638279765155,25.32649633137662,7.418411273754994
T5,peaks: + area,ridge,0.4118274483715345,19.74973285420191,5.095479173048525
T5,peaks: + area,PLS,0.5043874688173102,18.129256273221507,5.018995410324687
T5,peaks: + prominence,ridge,0.7225558858566488,13.564275648212972,3.2947578817659853
T5,peaks: + prominence,PLS,0.6844498540507054,14.465819490560571,3.730830772307208
T5,peaks: all five,ridge,0.5871773531073817,16.54590802565558,3.610525250831375
T5,peaks: all five,PLS,0.5918026469997217,16.452956175458443,3.7370268313726016
T5,raw spectra,ridge,0.5808926841809781,16.67137689090927,4.280579558434897
T5,raw spectra,PLS,0.2991055115662425,21.55932558799168,5.811693927183738
T10,family mean,-,0.6203361622073909,18.533628816248832,4.374057389541709
T10,TFI,ridge,0.7092273094344883,16.219507083598074,2.8435869301374086
T10,TFI,PLS,0.7057724482084264,16.315579856168156,3.3630446502768385
T10,PI,ridge,-0.1752897357050531,32.60868727689434,7.235424545151655
T10,PI,PLS,-0.3943631127748772,35.51802321663343,7.391110254000016
T10,peaks: position,ridge,-0.1309200828259895,31.98724246607012,7.17548263389782
T10,peaks: position,PLS,-0.0297775107347018,30.523374536047548,6.467166803499144
T10,peaks: + intensity,ridge,0.7043262595584999,16.355627912911967,3.922315251324533
T10,peaks: + intensity,PLS,0.6164470251869418,18.62831280298957,4.388040790883277
T10,peaks: + width,ridge,0.088078458388659,28.72364705172125,6.145308160622312
T10,peaks: + width,PLS,0.0248094952560744,29.70335981740089,6.756862886437327
T10,peaks: + area,ridge,0.6014197042516469,18.98972854957293,3.86001734409621
T10,peaks: + area,PLS,0.659750368913224,17.54525464100545,3.823005651507685
T10,peaks: + prominence,ridge,0.6786829578757305,17.050131167629385,2.874012834160437
T10,peaks: + prominence,PLS,0.6782728903447227,17.06100745954501,3.0977234927158626
T10,peaks: all five,ridge,0.6008716819102415,19.00277889463685,3.27334361553047
T10,peaks: all five,PLS,0.6276758687483452,18.353607360999145,3.330896084346032
T10,raw spectra,ridge,0.7283476028945709,15.677168095859232,2.862392582101113
T10,raw spectra,PLS,0.526708977273131,20.693072419682103,4.457139553270404
T50,family mean,-,0.7976452920756432,18.724047565993523,3.4945784545194662
T50,TFI,ridge,0.4562300625095525,30.693801214019288,5.020088646418972
T50,TFI,PLS,0.3727886773686809,32.964768038197576,5.616006999177758
T50,PI,ridge,0.0065524049062481,41.48733714254018,7.507858868254551
T50,PI,PLS,0.0387466972054776,40.80956840064889,7.509515535201149
T50,peaks: position,ridge,0.1473027121501694,38.43620668201861,6.505954029020901
T50,peaks: position,PLS,0.3019720069288554,34.775989734082984,5.860670259228858
T50,peaks: + intensity,ridge,0.6970842892779017,22.90888639223176,4.403359419245347
T50,peaks: + intensity,PLS,0.7005097543243565,22.778987709102683,4.2816290453426005
T50,peaks: + width,ridge,0.4362718873947929,31.2520079297733,5.947914693349713
T50,peaks: + width,PLS,0.2191076538890489,36.782281372780346,7.709426652323314
