artefact,level,amplitude,representation,retrieval,sd
wavenumber shift,0.0,0.0,TFI,1.0,0.0
wavenumber shift,0.0,0.0,PI,1.0,0.0
wavenumber shift,0.0,0.0,peaks: position,1.0,0.0
wavenumber shift,0.0,0.0,peaks: + intensity,1.0,0.0
wavenumber shift,0.0,0.0,peaks: + width,1.0,0.0
wavenumber shift,0.0,0.0,peaks: + area,1.0,0.0
wavenumber shift,0.0,0.0,peaks: + prominence,1.0,0.0
wavenumber shift,0.0,0.0,peaks: all five,1.0,0.0
wavenumber shift,0.0,0.0,raw spectra,1.0,0.0
wavenumber shift,0.25,4.0,TFI,0.9487179487179486,1.1102230246251563e-16
wavenumber shift,0.25,4.0,PI,1.0,0.0
wavenumber shift,0.25,4.0,peaks: position,1.0,0.0
wavenumber shift,0.25,4.0,peaks: + intensity,1.0,0.0
wavenumber shift,0.25,4.0,peaks: + width,1.0,0.0
wavenumber shift,0.25,4.0,peaks: + area,0.923076923076923,0.0209358097673775
wavenumber shift,0.25,4.0,peaks: + prominence,0.9487179487179486,1.1102230246251563e-16
wavenumber shift,0.25,4.0,peaks: all five,1.0,0.0
wavenumber shift,0.25,4.0,raw spectra,0.9914529914529916,0.0120872954048982
wavenumber shift,0.5,8.0,TFI,0.9743589743589745,0.0
wavenumber shift,0.5,8.0,PI,1.0,0.0
wavenumber shift,0.5,8.0,peaks: position,1.0,0.0
wavenumber shift,0.5,8.0,peaks: + intensity,1.0,0.0
wavenumber shift,0.5,8.0,peaks: + width,1.0,0.0
wavenumber shift,0.5,8.0,peaks: + area,0.94017094017094,0.0120872954048982
wavenumber shift,0.5,8.0,peaks: + prominence,0.9743589743589745,0.0
wavenumber shift,0.5,8.0,peaks: all five,1.0,0.0
wavenumber shift,0.5,8.0,raw spectra,0.905982905982906,0.0319799776647345
wavenumber shift,0.75,12.0,TFI,0.982905982905983,0.0120872954048982
wavenumber shift,0.75,12.0,PI,1.0,0.0
wavenumber shift,0.75,12.0,peaks: position,1.0,0.0
wavenumber shift,0.75,12.0,peaks: + intensity,1.0,0.0
wavenumber shift,0.75,12.0,peaks: + width,1.0,0.0
wavenumber shift,0.75,12.0,peaks: + area,0.9487179487179488,0.0362618862146947
wavenumber shift,0.75,12.0,peaks: + prominence,0.982905982905983,0.0120872954048982
wavenumber shift,0.75,12.0,peaks: all five,1.0,0.0
wavenumber shift,0.75,12.0,raw spectra,0.8119658119658121,0.052687299170675
wavenumber shift,1.0,16.0,TFI,0.9658119658119658,0.0120872954048982
wavenumber shift,1.0,16.0,PI,1.0,0.0
wavenumber shift,1.0,16.0,peaks: position,0.982905982905983,0.0120872954048982
wavenumber shift,1.0,16.0,peaks: + intensity,0.982905982905983,0.0120872954048982
wavenumber shift,1.0,16.0,peaks: + width,1.0,0.0
wavenumber shift,1.0,16.0,peaks: + area,0.9487179487179488,0.0362618862146947
wavenumber shift,1.0,16.0,peaks: + prominence,0.9658119658119658,0.0120872954048982
wavenumber shift,1.0,16.0,peaks: all five,1.0,0.0
wavenumber shift,1.0,16.0,raw spectra,0.7948717948717948,0.0209358097673775
additive noise,0.0,0.0,TFI,1.0,0.0
additive noise,0.0,0.0,PI,1.0,0.0
additive noise,0.0,0.0,peaks: position,1.0,0.0
additive noise,0.0,0.0,peaks: + intensity,1.0,0.0
additive noise,0.0,0.0,peaks: + width,1.0,0.0
additive noise,0.0,0.0,peaks: + area,1.0,0.0
additive noise,0.0,0.0,peaks: + prominence,1.0,0.0
additive noise,0.0,0.0,peaks: all five,1.0,0.0
additive noise,0.0,0.0,raw spectra,1.0,0.0
additive noise,0.25,0.0125,TFI,0.7777777777777777,0.0241745908097964
additive noise,0.25,0.0125,PI,0.1025641025641025,1.3877787807814457e-17
additive noise,0.25,0.0125,peaks: position,0.0256410256410256,3.469446951953614e-18
additive noise,0.25,0.0125,peaks: + intensity,0.2735042735042735,0.0120872954048982
additive noise,0.25,0.0125,peaks: + width,0.1025641025641025,0.0209358097673775
additive noise,0.25,0.0125,peaks: + area,0.6581196581196581,0.0319799776647345
additive noise,0.25,0.0125,peaks: + prominence,0.7777777777777777,0.0435813633640408
additive noise,0.25,0.0125,peaks: all five,0.5811965811965812,0.0319799776647345
additive noise,0.25,0.0125,raw spectra,1.0,0.0
additive noise,0.5,0.025,TFI,0.5555555555555555,0.0319799776647345
additive noise,0.5,0.025,PI,0.0256410256410256,3.469446951953614e-18
additive noise,0.5,0.025,peaks: position,0.0256410256410256,3.469446951953614e-18
additive noise,0.5,0.025,peaks: + intensity,0.1111111111111111,0.0120872954048982
additive noise,0.5,0.025,peaks: + width,0.0769230769230769,0.0
additive noise,0.5,0.025,peaks: + area,0.5213675213675214,0.0319799776647345
additive noise,0.5,0.025,peaks: + prominence,0.4786324786324785,0.052687299170675
additive noise,0.5,0.025,peaks: all five,0.4957264957264957,0.0241745908097964
additive noise,0.5,0.025,raw spectra,1.0,0.0
additive noise,0.75,0.0375,TFI,0.2820512820512821,0.0362618862146947
additive noise,0.75,0.0375,PI,0.0256410256410256,3.469446951953614e-18
additive noise,0.75,0.0375,peaks: position,0.0256410256410256,3.469446951953614e-18
additive noise,0.75,0.0375,peaks: + intensity,0.0341880341880341,0.0120872954048982
additive noise,0.75,0.0375,peaks: + width,0.0598290598290598,0.0120872954048982
additive noise,0.75,0.0375,peaks: + area,0.376068376068376,0.0319799776647345
additive noise,0.75,0.0375,peaks: + prominence,0.1794871794871795,0.0209358097673775
additive noise,0.75,0.0375,peaks: all five,0.3504273504273504,0.0319799776647345
additive noise,0.75,0.0375,raw spectra,1.0,0.0
additive noise,1.0,0.05,TFI,0.1196581196581196,0.0120872954048982
additive noise,1.0,0.05,PI,0.0256410256410256,3.469446951953614e-18
additive noise,1.0,0.05,peaks: position,0.0256410256410256,3.469446951953614e-18
additive noise,1.0,0.05,peaks: + intensity,0.0256410256410256,3.469446951953614e-18
additive noise,1.0,0.05,peaks: + width,0.0512820512820512,0.0209358097673775
additive noise,1.0,0.05,peaks: + area,0.2905982905982906,0.048349181619593
