prominence,distance,n_peaks,Q2_T5,ARI
0.001,-1,101.8974358974359,0.72859563243163,0.5372159894409352
0.001,3,101.8974358974359,0.72859563243163,0.5372159894409352
0.001,10,94.25641025641026,0.728752941416728,0.5372159894409352
0.001,30,55.256410256410255,0.7306226996905767,0.5372159894409352
0.002,-1,71.43589743589743,0.7225558858566488,0.5372159894409352
0.002,3,71.43589743589743,0.7225558858566488,0.5372159894409352
0.002,10,68.56410256410257,0.7225859572974163,0.5372159894409352
0.002,30,44.97435897435897,0.7106995394561417,0.4653369114060236
0.005,-1,41.56410256410256,0.6950788614940862,0.4653369114060236
0.005,3,41.56410256410256,0.6950788614940862,0.4653369114060236
0.005,10,41.05128205128205,0.6952433470248678,0.4653369114060236
0.005,30,32.23076923076923,0.6975245789345424,0.4653369114060236
0.01,-1,27.794871794871796,0.743472863130598,0.4060838968881791
0.01,3,27.794871794871796,0.743472863130598,0.4060838968881791
0.01,10,27.692307692307693,0.7435521094496793,0.4060838968881791
0.01,30,24.41025641025641,0.7399576041083968,0.4060838968881791
0.02,-1,20.794871794871796,0.7398169957406805,0.4653369114060236
0.02,3,20.794871794871796,0.7398169957406805,0.4653369114060236
0.02,10,20.794871794871796,0.7398169957406805,0.4653369114060236
0.02,30,19.28205128205128,0.7355818429843312,0.4653369114060236
