target,model,Q2,reference,reference_Q2,delta_Q2,delta_Q2_lo,delta_Q2_hi,P_better
T5,TFI + ridge,0.7732663156022153,family mean,0.7056582576626484,0.06760805793956681,-0.07052293796554421,0.2937993748772221,0.8086
T5,TFI + ridge,0.7732663156022153,raw spectra + ridge,0.5808926841809781,0.1923736314212372,0.05427199065442231,0.44662833214150127,0.996
T5,raw spectra + ridge,0.5808926841809781,family mean,0.7056582576626484,-0.12476557348167039,-0.38771722357551736,0.16082066860698108,0.2044
T10,TFI + ridge,0.7092273094344883,family mean,0.6203361622073909,0.08889114722709746,-0.15463841888973676,0.5224365574290115,0.737
T10,TFI + ridge,0.7092273094344883,raw spectra + ridge,0.7283476028945709,-0.019120293460082594,-0.3313886678978245,0.11079711981043829,0.4554
T10,raw spectra + ridge,0.7283476028945709,family mean,0.6203361622073909,0.10801144068718005,-0.11597182294328938,0.5730410923501369,0.788
T50,TFI + ridge,0.45623006250955256,family mean,0.7976452920756432,-0.3414152295660906,-0.7773659999557574,-0.045218964894316545,0.0066
T50,TFI + ridge,0.45623006250955256,raw spectra + ridge,0.5557259788327154,-0.09949591632316279,-0.587252969740232,0.4693292495349042,0.3368
T50,raw spectra + ridge,0.5557259788327154,family mean,0.7976452920756432,-0.2419193132429278,-0.6210397239445302,0.002481422402935635,0.0272
T_dtg_peak,TFI + ridge,0.3228984980823717,family mean,0.6241099134919688,-0.30121141540959706,-0.6773290962483252,-0.006036767566431188,0.0228
T_dtg_peak,TFI + ridge,0.3228984980823717,raw spectra + ridge,0.27804611451523076,0.04485238356714094,-0.408652775173968,0.6505320183356389,0.5472
T_dtg_peak,raw spectra + ridge,0.27804611451523076,family mean,0.6241099134919688,-0.346063798976738,-0.7575379578084178,-0.10468711165001895,0.0002
residue,TFI + ridge,0.4940833831843775,family mean,0.7052147960468795,-0.21113141286250203,-0.5907365250125747,0.14182978765933577,0.0996
residue,TFI + ridge,0.4940833831843775,raw spectra + ridge,0.8765685317071551,-0.3824851485227776,-0.9396670555581746,-0.18018992377099566,0.0
residue,raw spectra + ridge,0.8765685317071551,family mean,0.7052147960468795,0.17135373566027556,0.025773650791400426,0.5909093744539209,0.9944
