representation,model,mean,sd,lo,hi
Fingerprint image,ridge,0.7732663156022151,1.2161883888976234e-16,0.7732663156022153,0.7732663156022153
Fingerprint image,PLS,0.7006203199874794,0.017056837177736726,0.6785038398428578,0.721843933327501
"Peaks, position + prominence",ridge,0.7225558858566488,0.0,0.7225558858566488,0.7225558858566488
"Peaks, position + prominence",PLS,0.6732829928135441,0.024562627314562595,0.6252259116809391,0.6889016263194935
Raw spectra (SNV),ridge,0.5808926841808897,0.0,0.5808926841808897,0.5808926841808897
Raw spectra (SNV),PLS,0.358993127642089,0.0654143488957389,0.25854567077410595,0.42003701333557697
SG 2nd derivative,ridge,0.5572482266821623,0.0,0.5572482266821623,0.5572482266821623
SG 2nd derivative,PLS,0.6592079842823791,0.0322214533951981,0.5952918338371639,0.6861474777656953
Persistence image,ridge,0.06593163656826018,0.0,0.06593163656826018,0.06593163656826018
Persistence image,PLS,-0.17084837709634773,0.10682491682983263,-0.3171732562882015,-0.03266559660028023
Family mean,-,0.7056582576626483,1.2161883888976234e-16,0.7056582576626484,0.7056582576626484
