representation,model,k,loo,mean,sd,lo,hi
Fingerprint image,ridge,5,0.7732663156022153,0.6614325283495307,0.1336861208052604,0.40252589735734823,0.7903572865593206
"Peaks, position + prominence",ridge,5,0.7225558858566488,0.5883687390623455,0.1481285515273068,0.2921298889735825,0.7373424062750521
Raw spectra (SNV),ridge,5,0.5808926841808897,0.3896110435544222,0.3204068294890918,-0.33927517579398636,0.651442965869157
SG 2nd derivative,ridge,5,0.5572482266821623,0.6100221507826756,0.1673072775206833,0.3003365832238827,0.7936321705172507
Persistence image,ridge,5,0.06593163656826018,-0.00816559571449787,0.10949972068597683,-0.21568153237051202,0.13751295982765577
Family mean,-,5,0.7056582576626484,0.6079509860541614,0.18625523347249273,0.2333691733919394,0.7195922381715328
Fingerprint image,ridge,10,0.7732663156022153,0.7298956714025756,0.10084664989193662,0.44206463292732173,0.7988346653654899
"Peaks, position + prominence",ridge,10,0.7225558858566488,0.6663578482362321,0.11794534493808022,0.3304249984141263,0.745761551412135
Raw spectra (SNV),ridge,10,0.5808926841808897,0.3872911625193154,0.4755137369579413,-0.8754631830796604,0.6689310218907404
SG 2nd derivative,ridge,10,0.5572482266821623,0.5855572770290818,0.13843797222995377,0.2612209814054522,0.7837980587652441
Persistence image,ridge,10,0.06593163656826018,0.03040507912939832,0.06972873695618116,-0.13940768445635604,0.10008066838246746
Family mean,-,10,0.7056582576626484,0.6574821659514717,0.14188423293572644,0.2426872605213426,0.7127147618655484
