artefact,level,amplitude,unit,representation,self_retrieval,self_retrieval_sd
baseline drift,0.0,0.0,fraction of the absorbance range,baseline: raw spectra,1.0,0.0
baseline drift,0.0,0.0,fraction of the absorbance range,PI (fixed threshold),1.0,0.0
baseline drift,0.0,0.0,fraction of the absorbance range,TFI (fixed threshold),1.0,0.0
baseline drift,0.0,0.0,fraction of the absorbance range,TFI (adaptive threshold),1.0,0.0
baseline drift,0.25,0.1,fraction of the absorbance range,baseline: raw spectra,0.8512820512820513,0.05229763603684908
baseline drift,0.25,0.1,fraction of the absorbance range,PI (fixed threshold),0.8358974358974359,0.057563959796522186
baseline drift,0.25,0.1,fraction of the absorbance range,TFI (fixed threshold),0.846153846153846,0.0458680610769188
baseline drift,0.25,0.1,fraction of the absorbance range,TFI (adaptive threshold),0.846153846153846,0.0458680610769188
baseline drift,0.5,0.2,fraction of the absorbance range,baseline: raw spectra,0.7128205128205127,0.05229763603684905
baseline drift,0.5,0.2,fraction of the absorbance range,PI (fixed threshold),0.635897435897436,0.06363935203072234
baseline drift,0.5,0.2,fraction of the absorbance range,TFI (fixed threshold),0.6564102564102565,0.05523245956035388
baseline drift,0.5,0.2,fraction of the absorbance range,TFI (adaptive threshold),0.6564102564102565,0.05523245956035388
baseline drift,0.75,0.30000000000000004,fraction of the absorbance range,baseline: raw spectra,0.558974358974359,0.06363935203072234
baseline drift,0.75,0.30000000000000004,fraction of the absorbance range,PI (fixed threshold),0.4512820512820513,0.09539012942429885
baseline drift,0.75,0.30000000000000004,fraction of the absorbance range,TFI (fixed threshold),0.5230769230769232,0.06607230116269296
baseline drift,0.75,0.30000000000000004,fraction of the absorbance range,TFI (adaptive threshold),0.5230769230769232,0.06607230116269296
baseline drift,1.0,0.4,fraction of the absorbance range,baseline: raw spectra,0.4666666666666667,0.08488689926793255
baseline drift,1.0,0.4,fraction of the absorbance range,PI (fixed threshold),0.3641025641025641,0.09917476720930109
baseline drift,1.0,0.4,fraction of the absorbance range,TFI (fixed threshold),0.4564102564102564,0.06153846153846152
baseline drift,1.0,0.4,fraction of the absorbance range,TFI (adaptive threshold),0.4564102564102564,0.06153846153846152
wavenumber shift,0.0,0.0,cm$^{-1}$,baseline: raw spectra,1.0,0.0
wavenumber shift,0.0,0.0,cm$^{-1}$,PI (fixed threshold),1.0,0.0
wavenumber shift,0.0,0.0,cm$^{-1}$,TFI (fixed threshold),1.0,0.0
wavenumber shift,0.0,0.0,cm$^{-1}$,TFI (adaptive threshold),1.0,0.0
wavenumber shift,0.25,4.0,cm$^{-1}$,baseline: raw spectra,0.9692307692307691,0.010256410256410265
