min_persistence,mean_n_features,resolution,sigma_wavenumber,ARI,AMI
0.001,102.82051282051282,16,10.0,0.37323279924599434,0.5151372212479415
0.001,102.82051282051282,16,20.0,0.37323279924599434,0.5151372212479415
0.001,102.82051282051282,16,40.0,0.37323279924599434,0.5151372212479415
0.001,102.82051282051282,24,10.0,0.37323279924599434,0.5151372212479415
0.001,102.82051282051282,24,20.0,0.37323279924599434,0.5151372212479415
0.001,102.82051282051282,24,40.0,0.37323279924599434,0.5151372212479415
0.001,102.82051282051282,32,10.0,0.37323279924599434,0.5151372212479415
0.001,102.82051282051282,32,20.0,0.37323279924599434,0.5151372212479415
0.001,102.82051282051282,32,40.0,0.37323279924599434,0.5151372212479415
0.001,102.82051282051282,48,10.0,0.37323279924599434,0.5151372212479415
0.001,102.82051282051282,48,20.0,0.37323279924599434,0.5151372212479415
0.001,102.82051282051282,48,40.0,0.37323279924599434,0.5151372212479415
0.001,102.82051282051282,64,10.0,0.27793486228924497,0.34208579992594457
0.001,102.82051282051282,64,20.0,0.37323279924599434,0.5151372212479415
0.001,102.82051282051282,64,40.0,0.37323279924599434,0.5151372212479415
0.002,72.2051282051282,16,10.0,0.37323279924599434,0.5151372212479415
0.002,72.2051282051282,16,20.0,0.37323279924599434,0.5151372212479415
0.002,72.2051282051282,16,40.0,0.37323279924599434,0.5151372212479415
0.002,72.2051282051282,24,10.0,0.37323279924599434,0.5151372212479415
0.002,72.2051282051282,24,20.0,0.37323279924599434,0.5151372212479415
0.002,72.2051282051282,24,40.0,0.37323279924599434,0.5151372212479415
0.002,72.2051282051282,32,10.0,0.37323279924599434,0.5151372212479415
0.002,72.2051282051282,32,20.0,0.37323279924599434,0.5151372212479415
0.002,72.2051282051282,32,40.0,0.37323279924599434,0.5151372212479415
0.002,72.2051282051282,48,10.0,0.37323279924599434,0.5151372212479415
0.002,72.2051282051282,48,20.0,0.37323279924599434,0.5151372212479415
0.002,72.2051282051282,48,40.0,0.37323279924599434,0.5151372212479415
0.002,72.2051282051282,64,10.0,0.27793486228924497,0.34208579992594457
0.002,72.2051282051282,64,20.0,0.37323279924599434,0.5151372212479415
0.002,72.2051282051282,64,40.0,0.37323279924599434,0.5151372212479415
0.005,42.23076923076923,16,10.0,0.37323279924599434,0.5151372212479415
0.005,42.23076923076923,16,20.0,0.37323279924599434,0.5151372212479415
0.005,42.23076923076923,16,40.0,0.37323279924599434,0.5151372212479415
0.005,42.23076923076923,24,10.0,0.27793486228924497,0.34208579992594457
0.005,42.23076923076923,24,20.0,0.37323279924599434,0.5151372212479415
0.005,42.23076923076923,24,40.0,0.37323279924599434,0.5151372212479415
0.005,42.23076923076923,32,10.0,0.37323279924599434,0.5151372212479415
0.005,42.23076923076923,32,20.0,0.37323279924599434,0.5151372212479415
0.005,42.23076923076923,32,40.0,0.37323279924599434,0.5151372212479415
0.005,42.23076923076923,48,10.0,0.27793486228924497,0.34208579992594457
0.005,42.23076923076923,48,20.0,0.37323279924599434,0.5151372212479415
0.005,42.23076923076923,48,40.0,0.37323279924599434,0.5151372212479415
0.005,42.23076923076923,64,10.0,0.37323279924599434,0.5151372212479415
0.005,42.23076923076923,64,20.0,0.37323279924599434,0.5151372212479415
0.005,42.23076923076923,64,40.0,0.37323279924599434,0.5151372212479415
0.01,28.205128205128204,16,10.0,0.37323279924599434,0.5151372212479415
0.01,28.205128205128204,16,20.0,0.37323279924599434,0.5151372212479415
0.01,28.205128205128204,16,40.0,0.37323279924599434,0.5151372212479415
0.01,28.205128205128204,24,10.0,0.27793486228924497,0.34208579992594457
0.01,28.205128205128204,24,20.0,0.37323279924599434,0.5151372212479415
0.01,28.205128205128204,24,40.0,0.37323279924599434,0.5151372212479415
0.01,28.205128205128204,32,10.0,0.2933403342959657,0.33817301679179446
0.01,28.205128205128204,32,20.0,0.37323279924599434,0.5151372212479415
0.01,28.205128205128204,32,40.0,0.37323279924599434,0.5151372212479415
0.01,28.205128205128204,48,10.0,0.2988451567287297,0.3583112403288569
0.01,28.205128205128204,48,20.0,0.37323279924599434,0.5151372212479415
0.01,28.205128205128204,48,40.0,0.37323279924599434,0.5151372212479415
0.01,28.205128205128204,64,10.0,0.37323279924599434,0.5151372212479415
0.01,28.205128205128204,64,20.0,0.37323279924599434,0.5151372212479415
0.01,28.205128205128204,64,40.0,0.37323279924599434,0.5151372212479415
